month_bucket,query_id,keyword_key,canonical_en,category,is_in_lexicon,paper_count,total_papers,prevalence,citation_sum,citation_median,weighted_prevalence,is_low_sample,is_provisional
2023-09,sunscreen,dermatology,dermatology,,False,45,171,0.263158,294,0.0,0.407342,False,False
2023-09,sunscreen,PHOTOPROTECTION,photoprotection,mechanism,True,29,171,0.169591,302,5.0,0.567251,False,False
2023-09,sunscreen,environmental health,environmental health,,False,24,171,0.140351,70,0.0,0.379264,False,False
2023-09,sunscreen,photosynthesis,photosynthesis,,False,18,171,0.105263,313,5.5,0.58447,False,False
2023-09,sunscreen,nanotechnology,nanotechnology,,False,16,171,0.093567,333,12.0,0.70011,False,False
2023-09,sunscreen,optics,optics,,False,16,171,0.093567,133,4.5,0.612756,False,False
2023-09,sunscreen,ANTIOXIDANT,antioxidant,mechanism,True,15,171,0.087719,110,2.0,0.57115,False,False
2023-09,sunscreen,ULTRAVIOLET,ultraviolet radiation,spec,True,14,171,0.081871,250,11.5,0.694444,False,False
2023-09,sunscreen,gene,gene,,False,13,171,0.076023,282,4.0,0.603464,False,False
2023-09,sunscreen,skin cancer,skin cancer,,False,13,171,0.076023,27,0.0,0.317364,False,False
2023-09,sunscreen,sun protection,sun protection,,False,13,171,0.076023,37,0.0,0.400135,False,False
2023-09,sunscreen,cancer,cancer,,False,12,171,0.070175,8,0.0,0.256823,False,False
2023-09,sunscreen,population,population,,False,12,171,0.070175,26,0.0,0.357943,False,False
2023-09,sunscreen,sun exposure,sun exposure,,False,12,171,0.070175,47,0.0,0.371832,False,False
2023-09,sunscreen,chromatography,chromatography,,False,11,171,0.064327,99,10.0,0.660021,False,False
2023-09,sunscreen,sunburn,sunburn,,False,10,171,0.05848,68,1.0,0.465789,False,False
2023-09,sunscreen,ANTI_AGING,anti-aging,claim,True,9,171,0.052632,88,4.0,0.549708,False,False
2023-09,sunscreen,SPF,sun protection factor,spec,True,9,171,0.052632,28,0.0,0.402209,False,False
2023-09,sunscreen,demography,demography,,False,9,171,0.052632,40,0.0,0.413255,False,False
2023-09,sunscreen,dpph,dpph,,False,9,171,0.052632,76,6.0,0.649448,False,False
2023-09,sunscreen,pathology,pathology,,False,9,171,0.052632,28,0.0,0.392788,False,False
2023-09,sunscreen,photochemistry,photochemistry,,False,9,171,0.052632,114,9.0,0.700455,False,False
2023-09,sunscreen,composite material,composite material,,False,8,171,0.046784,101,5.5,0.632675,False,False
2023-09,sunscreen,fluorescence,fluorescence,,False,8,171,0.046784,35,1.5,0.514985,False,False
2023-09,sunscreen,cosmetics,cosmetics,,False,7,171,0.040936,203,16.0,0.758145,False,False
2023-09,sunscreen,gerontology,gerontology,,False,7,171,0.040936,36,0.0,0.421888,False,False
2023-09,sunscreen,artificial intelligence,artificial intelligence,,False,6,171,0.035088,19,1.0,0.429825,False,False
2023-09,sunscreen,context (archaeology),context (archaeology),,False,6,171,0.035088,143,6.0,0.630604,False,False
2023-09,sunscreen,extraction (chemistry),extraction (chemistry),,False,6,171,0.035088,74,10.5,0.796296,False,False
2023-09,sunscreen,nuclear chemistry,nuclear chemistry,,False,6,171,0.035088,63,9.5,0.747076,False,False
2023-09,sunscreen,toxicity,toxicity,,False,6,171,0.035088,90,16.0,0.808967,False,False
2023-09,sunscreen,uv filter,uv filter,,False,6,171,0.035088,89,13.0,0.732456,False,False
2023-09,sunscreen,NANOPARTICLE,nanoparticle,formulation,True,5,171,0.02924,134,9.0,0.682456,False,False
2023-09,sunscreen,carotenoid,carotenoid,,False,5,171,0.02924,27,5.0,0.638012,False,False
2023-09,sunscreen,fishery,fishery,,False,5,171,0.02924,41,0.0,0.467251,False,False
2023-09,sunscreen,human skin,human skin,,False,5,171,0.02924,59,4.0,0.52924,False,False
2023-09,sunscreen,in vitro,in vitro,,False,5,171,0.02924,29,0.0,0.446784,False,False
2023-09,sunscreen,mutant,mutant,,False,5,171,0.02924,19,1.0,0.495906,False,False
2023-09,sunscreen,sunscreening agents,sunscreening agents,,False,5,171,0.02924,20,0.0,0.39883,False,False
2023-09,sunscreen,surgery,surgery,,False,5,171,0.02924,13,1.0,0.460819,False,False
2023-09,sunscreen,bacteria,bacteria,,False,4,171,0.023392,17,2.5,0.448099,False,False
2023-09,sunscreen,contamination,contamination,,False,4,171,0.023392,68,18.0,0.870614,False,False
2023-09,sunscreen,detection limit,detection limit,,False,4,171,0.023392,57,11.5,0.830409,False,False
2023-09,sunscreen,dna,dna,,False,4,171,0.023392,60,6.5,0.619152,False,False
2023-09,sunscreen,dna damage,dna damage,,False,4,171,0.023392,60,6.5,0.619152,False,False
2023-09,sunscreen,logistic regression,logistic regression,,False,4,171,0.023392,11,2.0,0.410088,False,False
2023-09,sunscreen,mass spectrometry,mass spectrometry,,False,4,171,0.023392,55,10.5,0.821637,False,False
2023-09,sunscreen,nanocomposite,nanocomposite,,False,4,171,0.023392,42,8.5,0.696637,False,False
2023-09,sunscreen,orange (colour),orange (colour),,False,4,171,0.023392,20,5.0,0.624269,False,False
2023-09,sunscreen,oxidative stress,oxidative stress,,False,4,171,0.023392,45,7.5,0.694444,False,False
2023-09,sunscreen,photosystem ii,photosystem ii,,False,4,171,0.023392,16,4.0,0.590643,False,False
2023-09,sunscreen,phototoxicity,phototoxicity,,False,4,171,0.023392,112,7.0,0.605263,False,False
2023-09,sunscreen,phytochemical,phytochemical,,False,4,171,0.023392,6,1.0,0.459795,False,False
2023-09,sunscreen,pigment,pigment,,False,4,171,0.023392,30,3.5,0.561404,False,False
2023-09,sunscreen,psychiatry,psychiatry,,False,4,171,0.023392,0,0.0,0.175439,False,False
2023-09,sunscreen,sunlight,sunlight,,False,4,171,0.023392,41,7.5,0.71345,False,False
2023-09,sunscreen,MELANIN,melanin,mechanism,True,3,171,0.017544,47,0.0,0.44152,False,False
2023-09,sunscreen,absorbance,absorbance,,False,3,171,0.017544,27,11.0,0.615984,False,False
2023-09,sunscreen,absorption (acoustics),absorption (acoustics),,False,3,171,0.017544,29,9.0,0.743665,False,False
2023-09,sunscreen,acclimatization,acclimatization,,False,3,171,0.017544,224,7.0,0.781676,False,False
2023-09,sunscreen,adverse effect,adverse effect,,False,3,171,0.017544,2,0.0,0.292398,False,False
2023-09,sunscreen,algae,algae,,False,3,171,0.017544,8,1.0,0.430799,False,False
2023-09,sunscreen,arabidopsis,arabidopsis,,False,3,171,0.017544,18,6.0,0.626706,False,False
2023-09,sunscreen,astrophysics,astrophysics,,False,3,171,0.017544,16,4.0,0.633528,False,False
2023-09,sunscreen,benzophenone,benzophenone,,False,3,171,0.017544,49,10.0,0.640351,False,False
2023-09,sunscreen,bioinformatics,bioinformatics,,False,3,171,0.017544,13,0.0,0.395712,False,False
2023-09,sunscreen,body mass index,body mass index,,False,3,171,0.017544,4,0.0,0.315789,False,False
2023-09,sunscreen,catalysis,catalysis,,False,3,171,0.017544,48,5.0,0.729045,False,False
2023-09,sunscreen,chloroplast,chloroplast,,False,3,171,0.017544,11,2.0,0.55848,False,False
2023-09,sunscreen,cyanobacteria,cyanobacteria,,False,3,171,0.017544,10,5.0,0.473684,False,False
2023-09,sunscreen,enzyme,enzyme,,False,3,171,0.017544,15,0.0,0.401559,False,False
2023-09,sunscreen,genotoxicity,genotoxicity,,False,3,171,0.017544,40,13.0,0.816764,False,False
2023-09,sunscreen,immunology,immunology,,False,3,171,0.017544,6,0.0,0.335283,False,False
2023-09,sunscreen,in vivo,in vivo,,False,3,171,0.017544,39,15.0,0.816764,False,False
2023-09,sunscreen,incidence (geometry),incidence (geometry),,False,3,171,0.017544,31,7.0,0.599415,False,False
2023-09,sunscreen,multispectral image,multispectral image,,False,3,171,0.017544,16,4.0,0.607212,False,False
2023-09,sunscreen,nutrient,nutrient,,False,3,171,0.017544,35,9.0,0.778752,False,False
