keyword_key,canonical_en,category,is_in_lexicon,query_id,first_seen_month,total_papers,months_present,months_observed,prevalence_recent,prevalence_prior,growth_ratio,is_new_entrant,weighted_prevalence_recent,trend_class
PHOTOPROTECTION,photoprotection,mechanism,True,sunscreen,2023-09,966,36,36,0.140406,0.118692,1.1829,False,0.536928,steady
dermatology,dermatology,,False,sunscreen,2023-09,937,26,36,0.007785,0.21559,0.0361,False,0.472201,declining
ANTIOXIDANT,antioxidant,mechanism,True,sunscreen,2023-09,629,36,36,0.098693,0.070793,1.3941,False,0.509762,steady
ULTRAVIOLET,ultraviolet radiation,spec,True,sunscreen,2023-09,629,36,36,0.11589,0.055875,2.0741,False,0.490538,emerging
photosynthesis,photosynthesis,,False,sunscreen,2023-09,540,36,36,0.068699,0.076658,0.8962,False,0.571555,steady
SPF,sun protection factor,spec,True,sunscreen,2023-09,514,36,36,0.100412,0.045577,2.2031,False,0.471691,emerging
sun protection,sun protection,,False,sunscreen,2023-09,505,36,36,0.090029,0.050374,1.7872,False,0.454465,emerging
skin cancer,skin cancer,,False,sunscreen,2023-09,480,36,36,0.067316,0.063371,1.0623,False,0.464545,steady
cosmetics,cosmetics,,False,sunscreen,2023-09,442,36,36,0.084274,0.038658,2.18,False,0.466794,emerging
nanotechnology,nanotechnology,,False,sunscreen,2023-09,378,25,36,0.001074,0.084366,0.0127,False,0.786745,declining
environmental health,environmental health,,False,sunscreen,2023-09,359,25,36,0.002863,0.082982,0.0345,False,0.429626,declining
sun exposure,sun exposure,,False,sunscreen,2023-09,322,35,36,0.062315,0.028766,2.1663,False,0.456283,emerging
NANOPARTICLE,nanoparticle,formulation,True,sunscreen,2023-09,319,36,36,0.036767,0.04447,0.8268,False,0.545858,steady
ANTI_AGING,anti-aging,claim,True,sunscreen,2023-09,312,35,36,0.051116,0.032139,1.5904,False,0.480322,emerging
cancer,cancer,,False,sunscreen,2023-09,302,36,36,0.021663,0.054941,0.3943,False,0.504398,declining
chromatography,chromatography,,False,sunscreen,2023-09,274,25,36,0.002505,0.062256,0.0402,False,0.745219,declining
population,population,,False,sunscreen,2023-09,273,36,36,0.038196,0.036806,1.0378,False,0.457658,steady
sunscreening agents,sunscreening agents,,False,sunscreen,2023-09,270,36,36,0.04546,0.030027,1.514,False,0.455876,emerging
gene,gene,,False,sunscreen,2023-09,218,36,36,0.014983,0.040891,0.3664,False,0.516289,declining
pathology,pathology,,False,sunscreen,2023-09,216,25,36,0.000716,0.050229,0.0143,False,0.619094,declining
product (mathematics),product (mathematics),,False,sunscreen,2023-09,205,31,36,0.044251,0.013683,3.2339,False,0.42711,emerging
sunburn,sunburn,,False,sunscreen,2023-09,198,36,36,0.03133,0.023252,1.3474,False,0.436307,steady
photochemistry,photochemistry,,False,sunscreen,2023-09,197,25,36,0.001432,0.044228,0.0324,False,0.463091,declining
optics,optics,,False,sunscreen,2023-09,196,26,36,0.001717,0.042269,0.0406,False,0.799651,declining
photosystem ii,photosystem ii,,False,sunscreen,2023-09,187,35,36,0.030057,0.021612,1.3908,False,0.598416,steady
medline,medline,,False,sunscreen,2023-10,182,31,36,0.046401,0.008732,5.3136,False,0.509782,emerging
composite material,composite material,,False,sunscreen,2023-09,181,25,36,0.001432,0.040753,0.0351,False,0.730807,declining
extraction (chemistry),extraction (chemistry),,False,sunscreen,2023-09,179,34,36,0.024599,0.020526,1.1984,False,0.509542,steady
in vitro,in vitro,,False,sunscreen,2023-09,178,36,36,0.016553,0.028864,0.5735,False,0.549614,declining
carotenoid,carotenoid,,False,sunscreen,2023-09,157,35,36,0.022227,0.019243,1.1551,False,0.540106,steady
human skin,human skin,,False,sunscreen,2023-09,153,33,36,0.027507,0.014531,1.893,False,0.509265,emerging
toxicity,toxicity,,False,sunscreen,2023-09,150,35,36,0.01843,0.021209,0.869,False,0.520155,steady
oxidative stress,oxidative stress,,False,sunscreen,2023-09,144,34,36,0.027524,0.013068,2.1062,False,0.601437,emerging
melasma,melasma,,False,sunscreen,2023-09,139,36,36,0.02085,0.017171,1.2143,False,0.530682,steady
ingredient,ingredient,,False,sunscreen,2023-09,133,31,36,0.028512,0.009661,2.9512,False,0.499456,emerging
reactive oxygen species,reactive oxygen species,,False,sunscreen,2023-09,132,31,36,0.028059,0.009362,2.9971,False,0.548192,emerging
absorption (acoustics),absorption (acoustics),,False,sunscreen,2023-09,130,33,36,0.025424,0.011659,2.1806,False,0.550141,emerging
public health,public health,,False,sunscreen,2023-09,127,34,36,0.025714,0.011076,2.3216,False,0.463507,emerging
hyperpigmentation,hyperpigmentation,,False,sunscreen,2023-09,126,35,36,0.020238,0.015466,1.3086,False,0.551072,steady
dpph,dpph,,False,sunscreen,2023-09,125,34,36,0.019377,0.012929,1.4988,False,0.484085,steady
flavonoid,flavonoid,,False,sunscreen,2023-09,125,33,36,0.020447,0.012223,1.6728,False,0.472974,emerging
lignin,lignin,,False,sunscreen,2023-09,125,35,36,0.012785,0.018912,0.676,False,0.633644,steady
uv filter,uv filter,,False,sunscreen,2023-09,122,32,36,0.017542,0.015574,1.1264,False,0.55368,steady
disease,disease,,False,sunscreen,2023-09,121,34,36,0.022247,0.012741,1.7462,False,0.496045,emerging
phytochemical,phytochemical,,False,sunscreen,2023-09,121,30,36,0.027036,0.00805,3.3583,False,0.47252,emerging
family medicine,family medicine,,False,sunscreen,2023-09,111,25,36,0.000358,0.026853,0.0133,False,0.307087,declining
active ingredient,active ingredient,,False,sunscreen,2023-09,109,32,36,0.023687,0.008277,2.8617,False,0.474357,emerging
bacteria,bacteria,,False,sunscreen,2023-09,106,32,36,0.005963,0.018594,0.3207,False,0.530663,declining
chlorophyll,chlorophyll,,False,sunscreen,2023-09,105,30,36,0.021299,0.008867,2.4019,False,0.54889,emerging
polyphenol,polyphenol,,False,sunscreen,2023-09,105,31,36,0.01501,0.012659,1.1857,False,0.554335,steady
in vivo,in vivo,,False,sunscreen,2023-09,104,33,36,0.016037,0.011249,1.4256,False,0.615026,steady
lotion,lotion,,False,sunscreen,2023-09,104,35,36,0.014196,0.013341,1.0641,False,0.407272,steady
surgery,surgery,,False,sunscreen,2023-09,103,24,36,0.000358,0.024666,0.0145,False,0.307087,declining
cosmeceutical,cosmeceutical,,False,sunscreen,2023-10,102,28,36,0.021882,0.007764,2.8185,False,0.543603,emerging
enzyme,enzyme,,False,sunscreen,2023-09,102,34,36,0.005729,0.019266,0.2973,False,0.47456,declining
MELANIN,melanin,mechanism,True,sunscreen,2023-09,101,32,36,0.014993,0.012555,1.1941,False,0.601236,steady
zinc,zinc,,False,sunscreen,2023-09,100,31,36,0.014539,0.011659,1.247,False,0.550685,steady
immunology,immunology,,False,sunscreen,2023-09,99,25,36,0.000358,0.023125,0.0155,False,0.307087,declining
acne,acne,,False,sunscreen,2023-10,97,31,36,0.015711,0.011788,1.3328,False,0.490266,steady
erythema,erythema,,False,sunscreen,2023-10,95,29,36,0.01707,0.009392,1.8175,False,0.457246,emerging
skin care,skin care,,False,sunscreen,2023-09,95,32,36,0.015879,0.01013,1.5676,False,0.453625,emerging
chloroplast,chloroplast,,False,sunscreen,2023-09,94,34,36,0.01178,0.013685,0.8608,False,0.584066,steady
photocatalysis,photocatalysis,,False,sunscreen,2023-09,94,34,36,0.009419,0.013501,0.6977,False,0.561135,steady
adverse effect,adverse effect,,False,sunscreen,2023-09,93,29,36,0.018239,0.007765,2.3487,False,0.497583,emerging
ethanol,ethanol,,False,sunscreen,2023-10,93,29,36,0.014026,0.011099,1.2638,False,0.456172,steady
sunlight,sunlight,,False,sunscreen,2023-09,92,32,36,0.015252,0.010079,1.5132,False,0.441837,emerging
context (archaeology),context (archaeology),,False,sunscreen,2023-09,91,24,36,0.017643,0.008005,2.2041,False,0.477768,emerging
